cement,sand,granite,water,wc,age,cs
320,680,1180,160,0.5,7,20.8
320,680,1180,160,0.5,14,26.25
320,680,1180,160,0.5,21,29.61
320,680,1180,160,0.5,28,31.45
300,600,1200,180,0.6,7,19.41
300,600,1200,180,0.6,14,24.37
300,600,1200,180,0.6,21,25.72
300,600,1200,180,0.6,28,27.9
315,595,1325,190,0.6,7,17.9
315,595,1325,190,0.6,14,22.25
315,595,1325,190,0.6,21,25.02
315,595,1325,190,0.6,28,27.5
300,630,1230,195,0.65,7,17.25
300,630,1230,195,0.65,14,22.56
300,630,1230,195,0.65,21,25.21
300,630,1230,195,0.65,28,26.54
400,760,1400,220,0.55,7,22.16
400,760,1400,220,0.55,14,28.98
400,760,1400,220,0.55,21,32.39
400,760,1400,220,0.55,28,34.09
340,697,1360,221,0.65,7,17.19
340,697,1360,221,0.65,14,22.43
340,697,1360,221,0.65,21,24.98
340,697,1360,221,0.65,28,26.45
380,680,1170,190,0.5,7,25.15
380,680,1170,190,0.5,14,32.97
380,680,1170,190,0.5,21,36.76
380,680,1170,190,0.5,28,38.9
400,660,1000,208,0.52,7,24.07
400,660,1000,208,0.52,14,31.48
400,660,1000,208,0.52,21,35.1
400,660,1000,208,0.52,28,36.92
410,902,1558,254.2,0.62,7,18.67
410,902,1558,254.2,0.62,14,24.13
410,902,1558,254.2,0.62,21,27.06
410,902,1558,254.2,0.62,28,28.21
370,851,1295,240.5,0.65,7,17.23
370,851,1295,240.5,0.65,14,22.54
370,851,1295,240.5,0.65,21,25.17
370,851,1295,240.5,0.65,28,26.53
325,715,1235,195,0.6,7,19.49
325,715,1235,195,0.6,14,25.35
325,715,1235,195,0.6,21,28.4
325,715,1235,195,0.6,28,30.03
360,738,1296,208.8,0.58,7,20.45
360,738,1296,208.8,0.58,14,26.8
360,738,1296,208.8,0.58,21,29.94
360,738,1296,208.8,0.58,28,31.51
310,589,930,155,0.5,7,25.33
310,589,930,155,0.5,14,33.14
310,589,930,155,0.5,21,37.05
310,589,930,155,0.5,28,39.98
330,660,990,198,0.6,7,20.05
330,660,990,198,0.6,14,26.17
330,660,990,198,0.6,21,28.62
330,660,990,198,0.6,28,30.35
300,450,600,150,0.5,7,25.61
300,450,600,150,0.5,14,33.19
300,450,600,150,0.5,21,37.22
300,450,600,150,0.5,28,40.05
450,720,1035,243,0.54,7,19.84
450,720,1035,243,0.54,14,25.84
450,720,1035,243,0.54,21,28.97
450,720,1035,243,0.54,28,30.52
420,1008,1344,218.4,0.52,7,20.5
420,1008,1344,218.4,0.52,14,25.74
420,1008,1344,218.4,0.52,21,28.89
420,1008,1344,218.4,0.52,28,32.21
305,610,915,189.1,0.62,7,16.45
305,610,915,189.1,0.62,14,22.72
305,610,915,189.1,0.62,21,25.68
305,610,915,189.1,0.62,28,27.41
300,450,900,150,0.5,7,20.42
300,450,900,150,0.5,14,26.93
300,450,900,150,0.5,21,30.62
300,450,900,150,0.5,28,34.03
340,612,1054,170,0.5,7,19.34
340,612,1054,170,0.5,14,24.91
340,612,1054,170,0.5,21,29.83
340,612,1054,170,0.5,28,31.79
350,650,1200,192.5,0.55,7,18.63
350,650,1200,192.5,0.55,14,21.88
350,650,1200,192.5,0.55,21,26.52
350,650,1200,192.5,0.55,28,29.97
450,650,1150,225,0.5,7,19.38
450,650,1150,225,0.5,14,24.83
450,650,1150,225,0.5,21,28.45
450,650,1150,225,0.5,28,31.25
350,700,1225,210,0.6,7,15.67
350,700,1225,210,0.6,14,20.01
350,700,1225,210,0.6,21,23.17
350,700,1225,210,0.6,28,26.93
310,690,1200,155,0.5,7,19.83
310,690,1200,155,0.5,14,25.04
310,690,1200,155,0.5,21,28.87
310,690,1200,155,0.5,28,31.85
300,540,1080,180,0.6,7,17.65
300,540,1080,180,0.6,14,22
300,540,1080,180,0.6,21,25.17
300,540,1080,180,0.6,28,28.33
320,672,1296,208,0.65,7,13.91
320,672,1296,208,0.65,14,16.58
320,672,1296,208,0.65,21,20.13
320,672,1296,208,0.65,28,21.87
360,770,1340,216,0.6,7,14.08
360,770,1340,216,0.6,14,17.45
360,770,1340,216,0.6,21,21.7
360,770,1340,216,0.6,28,21.17
410,984,1517,217.3,0.53,7,16.28
410,984,1517,217.3,0.53,14,19.85
410,984,1517,217.3,0.53,21,23.71
410,984,1517,217.3,0.53,28,27.5
390,741,1599,222.3,0.57,7,16.9
390,741,1599,222.3,0.57,14,20.86
390,741,1599,222.3,0.57,21,24.71
390,741,1599,222.3,0.57,28,26.35
300,1200,1500,180,0.6,7,13.85
300,1200,1500,180,0.6,14,17.71
300,1200,1500,180,0.6,21,21.62
300,1200,1500,180,0.6,28,23.5
300,1050,1200,180,0.6,7,14.5
300,1050,1200,180,0.6,14,18.01
300,1050,1200,180,0.6,21,22.25
300,1050,1200,180,0.6,28,24.18
300,900,1200,195,0.65,7,13.35
300,900,1200,195,0.65,14,16.75
300,900,1200,195,0.65,21,20.05
300,900,1200,195,0.65,28,22.6
